LayPrice,BestBackOdds,Offset
1.01,2.5,1.49
1.02,2.49,1.47
1.03,2.48,1.45
1.04,2.47,1.43
1.05,2.46,1.41
1.06,2.45,1.39
1.07,2.43,1.36
1.08,2.42,1.34
1.09,2.41,1.32
1.1,2.4,1.3
1.11,2.39,1.28
1.12,2.38,1.26
1.13,2.37,1.24
1.14,2.36,1.22
1.15,2.34,1.19
1.16,2.33,1.17
1.17,2.32,1.15
1.18,2.31,1.13
1.19,2.3,1.11
1.2,2.29,1.09
1.21,2.28,1.07
1.22,2.26,1.04
1.23,2.25,1.02
1.24,2.24,1
1.25,2.23,0.98
1.26,2.22,0.96
1.27,2.21,0.94
1.28,2.2,0.92
1.29,2.18,0.89
1.3,2.17,0.87
1.31,2.16,0.85
1.32,2.15,0.83
1.33,2.14,0.81
1.34,2.13,0.79
1.35,2.12,0.77
1.36,2.1,0.74
1.37,2.09,0.72
1.38,2.08,0.7
1.39,2.07,0.68
